№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
1835957;29.09.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;39471390;"ДПI у Солом""янському р-нi  у м.Києвi";820019;ГУДКСУ у м.Києві;11467866,09;*10102070921 2201160, 2282(2120) Єдиний внесок, нарах.роботодавцями на суму з/пл за 09/2015р.
1837251;29.09.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;21705696;"ПАТ КБ ""Приватбанк""";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;7196982,51;#2201160#,#2282#,#2111:Перерахування коштiв на виплату з/пл за 09/2015р.#,#дог.№520 вiд 22.07.09р .#
1837547;29.09.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;14361575;"ПАТ""КРЕДI АГРIКОЛЬ БАНК""";300614;"АТ ""ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК""";6103306,23;#2201160#,#2282#,#2111:Перерахування коштiв на виплату з/пл за 09/2015р.#,#дог.20-84/19 вiд 03.08.04р .#
1167177;24.09.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;21705696;"ПАТ КБ ""Приватбанк""";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;6000205,66;#2201160#,# 2282#,#2720:Перерахування коштiв на виплату стипендiї за 09/2015р.#,# дог.523 вiд 22.07.09р.#,#без ПДВ#
1832800;29.09.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;38050812;УДКСУ у Солом`янському р-нi;820019;ГУДКСУ у м.Києві;4268025,47;*101020709212201160,2282(2111) Податок на доходи найманих працiвникiв iз з/пл за 09/2015р.
1164843;24.09.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;14361575;"ПАТ""КРЕДI АГРIКОЛЬ БАНК""";300614;"АТ ""ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК""";3334787,02;#2201160#,# 2282#,#2720:Перерахування коштiв на виплату стипендiї за 09/2015р.#,#дог.20-84/19 вiд 03.08.2004р.#,#без ПДВ#
1165411;24.09.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;23494714;"ПАТ ""Альфа-Банк""";300346;"ЗАТ ""АЛЬФА-БАНК"", М.КИЇВ";3275307,84;#2201160#,# 2282#,#2720:Перерахування коштiв на виплату стипендiї за 09/2015р.#,# дог.17329 вiд 31.08.12р.#,#без ПДВ#
1167792;24.09.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;9322277;"АТ""О/Б"" ТВБВ№10026/084,ф-я ГУ по Києву";322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;1249042,52;#2201160#,# 2282#,#2720:Перерахування коштiв на виплату стипендiї за 09/2015р.#,#дог.57 вiд 17.02.2015р.#,#без ПДВ#
1838265;29.09.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;39471390;"ДПI у Солом""янському р-нi  у м.Києвi";820019;ГУДКСУ у м.Києві;1172568,92;*10102070921 2201160, 2282(2111) Єдиний внесок, утриман. роботодавцями на суму з/пл за 09/2015р.
1568235;28.09.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;39471390;"ДПI у Солом""янському р-нi  у м.Києвi";820019;ГУДКСУ у м.Києві;952121,22;*101020709212201160,2282(2120)- Єдиний внесок iз з/пл за 2пол.09.2015, б.491
