№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
660909;17.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;31455995;"ТОВ"" Торгова компанiя""Асортимент""";320984;"ЗАТ ""ПРОКРЕДИТ БАНК""";8651,52;#2201280#,#2282-8651.52#,#за продукти харчування#,#нак№2240 вiд 10.09.15#,#Дог.059/14 вiд 07.05.15#,#в т.ч. ПДВ 1441.92 #
764925;18.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;39734511;"ТОВ ""Орхiдея України""";380355;"ТОВ КБ ""ЄВРОБАНК"" У М.КИЄВІ";8648,28;#2201280#,#2282-8648.28#,#прод.харч.#,#накл.№72 вiд 14.09.15#,#Дог.030/127 вiд 11.09.15#,#в т.ч. ПДВ 1441.38 #
1348561;25.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;NA;ФОП Колiсник О.О.;320649;"Ф""РОЗРАХ.ЦЕНТР""ЗАТКБ ПРИВАТБАНКУ, КИЇВ";8570,25;#2201280#,#2282-8570.25#,#за продукти харчування#,#нак№РН-0000009 вiд 21.09.15#,#Дог.059/62 вiд 23.07.15#,# без ПДВ#
854069;21.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;NA;ФОП Якiмець Вiктор Iванович;311744;"ЖИТОМИРСЬКЕ РУ ""ЗАТ КБ ""ПРИВАТБАНК""";8453,44;#2201280#,#2282(2230)-8453.44#,#оплата за прод.харч.#,#накл.Вр-91 вiд 17.09.15#,#Дог.059/47 вiд 09.07.15#,#в т.ч. ПДВ 1408.91 #
854576;21.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;NA;ФОП Конюшок Леся Миколаївна;380805;"АППБ ""АВАЛЬ""";8441,1;#2201100#,#2230(2230)-8441.10#,#оплата за продукти харчування #,#нак.1174 вiд 16.09.15#,#Дог.059/88 вiд 01.09.15#,#в т.ч. ПДВ 1406.85 #
2105202;30.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;9322277;"Фiлiї-Головне управлiння АТ""Ощадбанк""м";322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;8412,82;#2201290#,#2281-8412.82#,#з-та за 2 пол.09.15р.#,#зг.дог.№98 вiд 24.07.2014р..#,# без ПДВ #
853593;21.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;NA;ФОП Якiмець Вiктор Iванович;311744;"ЖИТОМИРСЬКЕ РУ ""ЗАТ КБ ""ПРИВАТБАНК""";8395,2;#2201280#,#2282(2230)-8395.20#,#оплата за прод.харч. #,#накл.Вр-90 вiд 17.09.15#,#Дог.059/10 вiд 22.04.15#,#в т.ч. ПДВ 1399.2 #
2108327;30.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;2070944;Київський нацiональний унiверситетiмен;820019;ГУДКСУ у м.Києві;8365,75;#2201280#,#2282-8365.75#,# перерах.безпроцентна позика утрим. iз з-ти за 2 пол. 09.15р. спiвроб.КНУ #,# без ПДВ #
2109986;30.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;14360570;"ПАТ КБ ""ПриватБанк""";320649;"Ф""РОЗРАХ.ЦЕНТР""ЗАТКБ ПРИВАТБАНКУ, КИЇВ";8250;#2201150#,#2282-8250.00#,#перерах. мат.доп.на лiт-ру.студ.сиротам КГРТза 09.15р#,#№с-128 вiд 28.09.15#,#Дог. 10407000039 вiд 07.04.2010 р#,# без ПДВ#
1838238;29.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;24264459;"Приватне пiдприємство ""Ранок К""";380355;"ТОВ КБ ""ЄВРОБАНК"" У М.КИЄВІ";8193,36;#2201280#,#2282-8193.36#,#напої#,#накл.№81 вiд 24.09.15#,#Дог.059/81 вiд 26.08.15#,#в т.ч. ПДВ 1365.56 #
