№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
7508309;26.11.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;21541421;"ПП ""ВАМА""";320984;"ЗАТ ""ПРОКРЕДИТ БАНК""";338,54;#2201160#,#2282#,#2210 за канцтовари#,#накл. №ВА-0000734(19.11.15р.)#,#ПДВ-56,42#,#Б.578#
10151425;22.12.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;36192323;"ТОВ ""КИЇВ-ГАЗ-СЕРВIС""";380805;"АППБ ""АВАЛЬ""";338,34;#2201160#,#2282#,#2210 - за част.гiдравл.устаткування#,#дог. № БО-151082 вiд 18.12.15 р. накл. № КГС0002148 вiд 18.12.15 р.#,#ПДВ - 56,39 грн.#,#б.571#
5147132;30.10.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;38050812;УДКСУ у Солом`янському р-нi;820019;ГУДКСУ у м.Києві;337,5;*101020709212201160,2282(2111)- Вiйськовий збiр iз з/пл за 2пол.10.2015, б.500
5350911;04.11.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;24095427;"АТ ""В.М.""";380582;NA;336,42;#2201160#,#2282#,#2210 за картридж,тонер#,#в.н. №ННУ00045329 вiд 02.11.2015, дог.№ВТ-1544 вiд 22.06.2015#,#ПДВ-56.07#,#б.500#
2927151;13.10.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;13696598;"ТОВ ""КВАРК-М""";380805;"АППБ ""АВАЛЬ""";336;#2201040#,#2281#,#2240 Оплата за дiагност. та рем.принтера #,#зг.акту № 09-26 вiд 05.10.15р.#,#дог.№ БО-1512 вiд 24.02.15р.#,#в т.ч. ПДВ-56,00#,#б/н 501#
9300155;14.12.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;13696598;"ТОВ ""КВАРК-М""";380805;"АППБ ""АВАЛЬ""";336;#2201160#,#2282#,#2240 проф.рем.лазерного принтера#,#акт №12-14 вiд 09.12.2015, дог.№БО-15784 вiд 19.10.2015#,#ПДВ-56,00#,#б.498#
7512047;26.11.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;13696598;"ТОВ ""КВАРК-М""";380805;"АППБ ""АВАЛЬ""";336;#2201160#,#2282#,#2240 дiагностика,ремонт лазерного принтера#,#акт №11-18 вiд 20.11.2015,дог.№БО-15784 вiд 19.10.15#,#ПДВ-56,00#,#б.500#
8935757;10.12.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;13696598;"ТОВ ""КВАРК-М""";380805;"АППБ ""АВАЛЬ""";336;#2201040#,#2281#,#2210 Оплата за накопичувач #,#зг.накл. № РН-1200003 вiд 03.12.15р.#,#в т.ч. ПДВ-56,00#,#б/н 501#
9302996;14.12.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;13696598;"ТОВ ""КВАРК-М""";380805;"АППБ ""АВАЛЬ""";336;#2201160#,#2282#,#2240 проф.рем.лазерного принтера#,#акт №12-19 вiд 09.12.2015, дог.№БО-15784 вiд 19.10.2015#,#ПДВ-56,00#,#б.500#
9784955;17.12.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;13696598;"ТОВ ""КВАРК-М""";380805;"АППБ ""АВАЛЬ""";336;#2201160#,#2282#,#2240 рем.,дiагностика тех.стану лазерного принтера#,#акт №12-29 вiд 14.12.15, дог.№БО-1512 вiд 24.02.15#,#ПДВ-56,00#,#б.500#
