№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
5801747;10.11.2015;21574751;НАНЦ;820019;ГУДКСУ у м.Києві;2070944;Київ. нац. унiв. iм.Т.Шевченка;820019;ГУДКСУ у м.Києві;20000;#2201410##2281##попередня оплата за науково-технiчнi роботи згiдно договору Н/16-2015 вiд 04.11.2015##без ПДВ#
4539443;28.10.2015;2136554;КУ ім.Б.Грінченка;820019;ГУДКСУ у м.Києві;2070944;КНУ імені Тараса Шевченка;820019;ГУДКСУ у м.Києві;18800;#070701#,#2282-18800,00#,#Опл за посл за прожив учасн учнів олімпіади#,#зг акт 29 від 27.10.2015р Дог 296 від 27.10.2015р#,#в тч ПДВ 1850,00#
9962917;18.12.2015;37508470;ДМС;820172;ДКСУ;2070944;КНУ ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;18000;#1004010#,#2282#,#послуги з навчання у період з 28.10.15 по 16.12.15 (15 держ.службовців)#,#Дог.№53, 26.10.15, Акт б/н,17.12.15 ККДБ 25010100#,# без ПДВ#
11117175;25.12.2015;23696843;НАДУ при Президентові України;820019;ГУДКСУ у м.Києві;2070944;КНУ ім.Тараса Шевченко;820019;ГУДКСУ у м.Києві;17268,98;#0301130##2271##Відш витрат за пайов. участ за  теплова енергія##зг акт№11 від 21.12.15.##дог№Ш2/2015 від 06.11.15.##в.т.ч.ПДВ-2878,16 #
6050015;12.11.2015;14163438;Хм.університет управління та права;815013;ГУДКСУ у Хмельницькiй областi;2070944;КНУ імені Тараса Шевченка;820019;ГУДКСУ у м.Києві;16500;#xxxx#,#xxxx-xxxx,00#,#Оп.за під.зд.наук.ст.док.наук КостяшкінаI.О.#xxxx-xxxx,00#,#сумаПДВ#,#акт№б/н в09.11.15,д№41в09.04.13,д.уг№3в09.11.15#,#ВтчПДВxxxx,00#
6434066;16.11.2015;22994521;Військовий інститут КНУ імТ.Г.Шевченка;820019;ГУДКСУ у м.Києві;2070944;КНУ iм. Т. Шевченка;820019;ГУДКСУ у м.Києві;15120;#2101020/01#,#2240#,#15120,00#,#Оплата за тимчасове проживання слухачiв курсiв пере-ки#,#дог.36 вiд 30.09.15р.#,#акт 5/36 вiд 11.11.15р.#,#В т.ч. ПДВ-2520,00#
7876079;27.11.2015;37470057;УПСЗН Шевченківської РДА;820019;ГУДКСУ у м.Києві;2070944;Київ. нац. унiвер.iм. Тараса Шевченка;820019;ГУДКСУ у м.Києві;15035,01;# 2501200 #, # 2730 #, # Вiдшкодування з держбюджету компенсацiї потерпiлим внаслiдок Чорноб. катастрофи за вересень-жовтень 2015р. #, ##, ##
8937986;10.12.2015;37508470;ДМС;820172;ДКСУ;2070944;КНУ ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;14250;#1004010#,#2282#,#посл.з підвищ.кваліфікац.(15 держ.службовців) у пер.з 10.09.15 по 30.11.15#,#Дог.№46,10.09.15, Акт б/н,07.12.15ККДБ 25010100#,# без ПДВ#
6879661;20.11.2015;2070944;КНУ iм.Т.Шевченка;820019;ГУДКСУ у м.Києві;2070944;Київський нацiональний унiверситетiмен;820019;ГУДКСУ у м.Києві;14240,16;#xxxx.16#,#Перекид. зарах.коштiв 13.11.15 компенс.пiдпр.у межах серед.з/п призв.на вiйськ.службу за призов.пiд час мобiл.за сiчень-вересень xxxx#,#без ПДВ#
11121386;25.12.2015;37768863;ГУ ДМС України в м. Києві;820019;ГУДКСУ у м.Києві;2070944;КНУ ім Т.Шевченка;820019;ГУДКСУ у м.Києві;14240;#1004020#,#2282#,#Оплата за надання послуг з підвищення кваліфікації держслужбовців#,# зг.Договора № 43 від 02.12.2015 зг. акта №1 від 23.12.2015#,#без ПДВ#
