є “–јЌ—ј ÷≤ѓ;ƒј“ј; ќƒ ѕЋј“Ќ» ;Ќј«¬ј ѕЋј“Ќ» ј;ћ‘ќ ѕЋј“Ќ» ј;ЅјЌ  ѕЋј“Ќ» ј; ќƒ ќƒ≈–∆”¬ј„;Ќј«¬ј ќƒ≈–∆”¬ј„;ћ‘ќ ќƒ≈–∆”¬ј„;ЅјЌ  ќƒ≈–∆”¬ј„;—”ћј;ѕ–»«Ќј„≈ЌЌя ѕЋј“≈∆”
6876636;20.11.2015;34979237;ƒ« "≤—««≤ Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;325339,94;"#™ƒ–ѕќ” 34979237# ѕ ¬ -6641050#2230#харчуванн€ курсантiв#дог.є23  05.10.15р.#акт є12  11.11.15р.#ѕƒ¬- 54223,32 грн.#"
8789437;09.12.2015;34979237;ƒ« "≤—««≤ Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;324630,31;"#™ƒ–ѕќ” 34979237# ѕ ¬ -6641050#2230#харчуванн€ курсантiв#дог.є23  05.10.15р.#акт є16  01.12.15р.#ѕƒ¬- 54105,05 грн.#"
3278544;16.10.2015;34979237;ƒ« "≤—««≤ Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;323240,57;"#™ƒ–ѕќ” 34979237# ѕ ¬ -6641050#2230#харчуванн€ курсантiв#дог.є23  05.10.15р.#акт є5  16.10.15р.#ѕƒ¬- 53873,43 грн.#"
3993775;23.10.2015;34979237;ƒ« "≤—««≤ Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;314369,27;"#™ƒ–ѕќ” 34979237# ѕ ¬ -6641050#2230#харчуванн€ курсантiв#дог.є23 05.10.2015р.актє7  11.10.2015р.#ѕƒ¬-52394,88грн.#"
10507516;23.12.2015;02070921;Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";899998;;293975,71;"*10102070921ѕƒ¬ за листопад 2015р 2201160  ≈ ¬ 2282 (2800) б.488 "
3279892;16.10.2015;34979237;ƒ« "≤—««≤ Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;288048,68;"#™ƒ–ѕќ” 34979237# ѕ ¬ -6641050#2230#харчуванн€ курсантiв#дог.є23  05.10.15р.#акт є6  16.10.15р.#ѕƒ¬- 48008,11 грн.#"
6646685;18.11.2015;02070921;Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";899998;;254262,33;"*10102070921ѕƒ¬ за жовтень 2015р 2201040  ≈ ¬ 2281 (2800) б.488 "
6754453;19.11.2015;25408067;ЌЌ  "≤ѕ—ј" Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;224545,00;" ѕ ¬  22011600, ≈ ¬2282(2271, 2272, 2273)  вiдшкодуванн€ за комунальнi послуги 11.2015, актє4 вiд 17.11.15р.,бнє 498, дог.є32 вiд 10.03.2015р., в т.ч.ѕƒ¬"
6881229;20.11.2015;38621185;ћќЌ ”крањни;820172;ƒ —”;02070921;Ќ“””" ѕI";820019;√”ƒ —” у м. иЇв≥;220000,00;"#2201040#,#2281#,#ѕопередн€ оплата етапу є1 на виконанн€ Ќ“–#,#згiдно договору вiд 30.10.2015 р. є ƒ«/58-2015,   ƒЅ 25010100#,#без ѕƒ¬#"
9487242;15.12.2015;25408067;ЌЌ  "≤ѕ—ј" Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;219369,00;" ѕ ¬  2201160,  ≈ ¬ 2282( 2271, 2272, 2273)  вiдшкодуванн€ за комунальнi послуги , актє5 вiд 14.12.15р.,бнє 498, дог.є32 вiд 10.03.2015р., в т.ч.ѕƒ¬"
11204984;28.12.2015;38621185;ћќЌ ”крањни;820172;ƒ —”;02070921;Ќ“””" ѕI";820019;√”ƒ —” у м. иЇв≥;199000,00;"#2201380#,#2281#,#ќплата етапу є1 на вик. Ќƒ–#,#зг.дог. вiд 18.12.15 єћ/228-2015, акт.здач.-прийм.Ќƒ– вiд 23.12.2015 є1,   ƒЅ 25010100#,#без ѕƒ¬#"
4147810;26.10.2015;02070921;Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";899998;;175036,35;"*10102070921ѕƒ¬ за вересень 2015р 2201040  ≈ ¬ 2281 (2800) б.488 "
6879332;20.11.2015;02070921;Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";899998;;146483,61;"*10102070921ѕƒ¬ за жовтень 2015р 2201160  ≈ ¬ 2282 (2800) б.488 "
9300346;14.12.2015;02070921;Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";899998;;121435,85;"*10102070921ѕƒ¬ за листопад 2015р 2201160  ≈ ¬ 2282 (2800) б.488 "
11679819;29.12.2015;02910019;ѕрокуратура м. иЇва;820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“””" ѕ≤" Ќƒ÷ "“≈«≤—";820019;√”ƒ —” у м. иЇв≥;120000,00;"#0901010#,#2240-120000,00#,#≥нструментальний контроль захищеност≥ ≥нформац≥њ на об'Їктах ≈ќ“#,#дог. 11715Ћ  в≥д 25.12.15 акт б/н  в≥д 25.12.15#,#ѕƒ¬ 20000,00#"
9298061;14.12.2015;02070921;Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";899998;;116189,14;"*10102070921ѕƒ¬ за листопад 2015р 2201040  ≈ ¬ 2281 (2800) б.488 "
4146121;26.10.2015;02070921;Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";899998;;115408,12;"*10102070921ѕƒ¬ за вересень 2015р 2201160  ≈ ¬ 2282 (2800) б.488 "
8559230;07.12.2015;26252928;ƒерж.фонд фундаметальних досл≥джень;820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;113000,00;"#2201040#,#2281#,#ќст.попередн€ оплата етапу Ќƒ–#,#зг.дог.‘64/48-2015 вiд 28.10.2015р.нак.є15 вiд 13.10.15р.  ƒЅ 25010100#.#Ѕез ѕƒ¬#"
10504911;23.12.2015;38621185;ћќЌ ”крањни;820172;ƒ —”;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;104544,83;"#2201380#,#2271#,#¬iдшкод.витр.за тепл.за 11.2015#,#зг.дог. вiд 01.10.2015є78/243,ƒ”є1вiд 03.11.15, акту вiд 17.12.2015 є6703 (2201160, є498)#,#без ѕƒ¬#"
8513161;07.12.2015;02070987;ЋЌ” ≥м.≤вана ‘ранка;825014;√”ƒ —” у Ћьвiвськiй областi;02070921;Ќ“”” " ињвський пол≥техн≥чний ≥нститут;820019;√”ƒ —” у м. иЇв≥;99000,00;"#2201040#,#2281-99000,00#,#јванс на виконанн€ науково-техн≥чноњ роботи#,#–.1,01.12.15р.ƒ.580/24,26.11.15р.“.ƒз/46-2015#,#без ѕƒ¬#"
7870990;27.11.2015;02070944; ињвський нац.ун≥вер-т ≥м.“.Ўевченка;820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;98500,00;"#2201290#,#2281-98500.00#,#передплата за викон.Ќƒ–#,#зг.п.4.1 дог.15ƒѕ07-01-—1 вiд 13.11.15, пост. ћ” 23.04.14 є117#,#ƒог.15ƒѕ07-01-—1 вiд 13.11.15#,# без ѕƒ¬#"
8455424;04.12.2015;02911102;ѕрокуратура ’мельницькоњ област≥;815013;√”ƒ —” у ’мельницькiй областi;02070921;Ќ“””" ѕI";820019;√”ƒ —” у м. иЇв≥;91002,00;"#0901010#,#2240#,#ѕ.за посл.у сферi iнф.з вик.комп.сист.в гал.техн.зах.iнф.щ.черг.ат.комп.на “«Iна13об.≈ќ“#,#јє10в02.12.15рƒє9215Ћв02.12.15р#в.т.ч.ѕƒ¬15167,00#"
5176451;02.11.2015;26252928;ƒерж.фонд фундаметальних досл≥джень;820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;86000,00;"#2201040#,#2281#,#„аст.попередн€ оплата етапу Ќƒ–#,#зг.дог.‘64/48-2015 вiд 28.10.2015р.нак.є15 вiд 13.10.15р  ƒЅ 25010100.#.#Ѕез ѕƒ¬#"
11223318;28.12.2015;02909915;ѕрокуратура ¬олинськоњ област≥;803014;√”ƒ —” у ¬олинськ≥й област≥;02070921;Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;84996,00;"#0901010#,#2240-84996,00#,#за провед.дод.держ.експертизи сиситем захисту ≥нф.#,#зг.дог.є 11615 Ћ≈ в≥д 25.12.2015р. та акту б/н в≥д 25.12.2015р.#,#в т.ч.ѕƒ¬-1416"
9620678;16.12.2015;05417213;≤‘’ ЌјЌ”;820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“” ”крањни" ињв.полiтех.iн-т,¬ид.-пол;820019;√”ƒ —” у м. иЇв≥;80000,00;"#6541030#,#2281-80000,00#,#«а виконанi Ќƒ–#,# згiдно дог.є3/11-2015 вiд  10.11.2015р.#,#јктє1 14.12.2015р.#,#без ѕƒ¬#"
7507387;26.11.2015;05416930;≤н-т ≤ѕћ ≥м.≤.ћ.‘ранцевича ЌјЌ ”крањни;820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ињвський полiтехнiчний iнститут;820019;√”ƒ —” у м. иЇв≥;80000,00;"#6541030#,#2281#,#попередн€ оплата на виконанн€ Ќƒ– "≈нергоефект.технологiњ д/отрим.новiтньоњ керамiки"#,#дог.43 вiд 19.11.15р., рах.1 вiд 24.11.15р.#,#без ѕƒ¬#"
4146955;26.10.2015;02070921;Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";899998;;78578,08;"*10102070921ѕƒ¬ за вересень 2015р 2201160  ≈ ¬ 2282 (2800) б.488 "
8937098;10.12.2015;34979237;ƒ« "≤—««≤ Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;71832,00;"#™ƒ–ѕќ” 34979237# ѕ ¬ -6641050#2240#послуги щодо забез.проживанн€ (гутожиток)#дог.є26  17.11.2015р.#акт єб\н   10.12.2015р.#Ѕез ѕƒ¬#"
10115715;21.12.2015;34979237;ƒ« "≤—««≤ Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;71291,80;"#™ƒ–ѕќ” 34979237# ѕ ¬ -6641050#2240#послуги щодо забез.проживанн€ (гутожиток)#дог.є26  17.11.2015р.дод.уг.1 17.12.15р.#акт єб\н  17.12.2015р.#Ѕез ѕƒ¬#"
4145785;26.10.2015;21574751;ЌјЌ÷;820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ињв. полiтех. iнстит.";820019;√”ƒ —” у м. иЇв≥;70000,00;"#2201410##2281##попередн€ оплата за науково-технiчнi роботи згiдно договору Ќ/8-2015 вiд 21.10.2015##без ѕƒ¬#"
11672743;29.12.2015;02070921;Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";899998;;67051,78;"*10102070921ѕƒ¬ за листопад 2015р 2201160  ≈ ¬ 2282 (2800) б.488 "
10107649;21.12.2015;00026620;ћ«— ”крањни;820172;ƒ —”;02070921;Ќац≥ональний техн≥чний ун≥верситет ”кр;820019;√”ƒ —” у м. иЇв≥;66000,00;"#1401010#,#2240#,#опл.посл.з провед.держ.експертизи систем захисту ≥нформац≥њ#,#дог.3615Ћ≈/01.10.15р., акт 1/08.12.15р.,  ƒЅ25010100#,#¬ т.ч. ѕƒ¬ 11000.00#"
11686635;29.12.2015;00019413; ом≥тет з держ.прем≥й ”кр.в гал.наук;820019;√”ƒ —” у м. иЇв≥;02070921;Ќац. тех. унiв. " ѕI";820019;√”ƒ —” у м. иЇв≥;62304,00;"#2201080#,#2730#,#—типен  ћ” за травень-грудень- 6 чол.#,#Ќаказ  омiтету є22 вiд 25.12.2015р.#,#ѕостанова  ћ” вiд 27.08.08 є757#"
9488426;15.12.2015;33240845;***18126;820172;ƒ —”;02070921;Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;60000,00;"#2281#,#попер. опл. за виконанн€ Ќƒ–#,#зг.д/к.194/15 в≥д 23.04.15, рах. 26 в≥д 14.12.15 (  ƒЅ 25010100)#,#без ѕƒ¬ (п/п 197.1.22 ѕ ”)#"
8794411;09.12.2015;33240845;***18126;820172;ƒ —”;02070921;Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;60000,00;"#2281#,#попер. опл. за виконанн€ Ќƒ–#,#зг.д/к.509/15 в≥д 18.11.15, рах.24 в≥д 07.12.15 (  ƒЅ 25010100)#,#без ѕƒ¬ (п/п 197.1.22 ѕ ”)#"
11114743;25.12.2015;00013936;ƒержкомтелерад≥о ”крањни;820172;ƒ —”;02070921;Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;58300,00;"#1701110#,#2282#,#ќстаточ.оплат.держ.замов.кн.“.ё. иричок,"Ќемереж.електрон.видан.ƒов≥д." #,#зг.дог.136,04.08.15р,акт01/136в≥д24.12.15р,  ƒЅ25010200#,#Ѕез ѕƒ¬#"
8565431;07.12.2015;38621185;ћќЌ ”крањни;820172;ƒ —”;02070921;Ќ“””" ѕI";820019;√”ƒ —” у м. иЇв≥;50000,00;"#2201380#,#2281#,#ѕопередн€ оплата етапу є1 на вик. Ќƒ–#,#зг.дог.27.11.15 єћ/209-2015,   ƒЅ 25010100#,#без ѕƒ¬#"
11127531;25.12.2015;34979237;ƒ« "≤—««≤ Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;47866,80;"#™ƒ–ѕќ” 34979237# ѕ ¬ -6641050#2240#послуги щодо забез.проживанн€ (гутожиток)#дог.є26 17.11.2015р.дод.уг.1  17.12.15р.#акт єб\н   24.12.2015р.#Ѕез ѕƒ¬#"
11672450;29.12.2015;02070921;Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";899998;;46922,23;"*10102070921ѕƒ¬ за листопад 2015р 2201040  ≈ ¬ 2281 (2800) б.488 "
9961997;18.12.2015;37317811;¬——”;820172;ƒ —”;02070921;Ќац≥ональний техн≥чний ун≥верситет ”кр;820019;√”ƒ —” у м. иЇв≥;45000,00;"#0651010#,#2240#,#«а пос. в гал.“«≤(≥нст. кон. зах.п€'т.об'Їк. ≥нф. д≥€л.)#,#рах. 568/12/22 15.12.15,акт11015Ћ 15.12.15,дог.11015Ћ 15.12.15#, #в т.ч.ѕƒ¬ 7500,00"
10505474;23.12.2015;38621185;ћќЌ ”крањни;820172;ƒ —”;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;42125,71;"#2201380#,#2273#,#¬iдшкод.витр.на електр. за 11.2015#,#зг.дог. вiд 01.10.2015є78/243, ƒ”є1вiд 03.11.15,акту вiд 17.12.2015 є6474 (2201160, є498)#,#без ѕƒ¬#"
8935042;10.12.2015;34979237;ƒ« "≤—««≤ Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;40515,00;"#™ƒ–ѕќ” 34979237# ѕ ¬ -6641050#2240#послуги щодо забез.проживанн€ (гутожиток)#дог.є26  17.11.2015р.#акт єб\н   09.12.2015р.#Ѕез ѕƒ¬#"
10509126;23.12.2015;02070921;Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";899998;;40449,54;"*10102070921ѕƒ¬ за листопад 2015р 2201160  ≈ ¬ 2282 (2800) б.488 "
9785956;17.12.2015;37485511;”ѕ—«Ќ —олом'€нськоњ –ƒј;820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”  ѕI;820019;√”ƒ —” у м. иЇв≥;40390,28;"#2501200#,#2730#,# омпенсацiйнi виплати по „ј≈— за грудень  2015 р., сiчень 2016 р., згiдно розрахунку є 847  вiд 11.12.2015 р.  #,#без ѕƒ¬#"
8474754;04.12.2015;00013540;–ахункова палата;820172;ƒ —”;02070921;Ќ“”” " ињвський пол≥техн≥чний ≥нститут;820019;√”ƒ —” у м. иЇв≥;40020,00;"#6511010#,#2240#,#ќпл.≥нстр.конт.стану захищ,атестац.компл“«≤#, #зг.дог.7015Ћв≥д07/10/15,акт3в≥д2/12/15, ѕ ¬2201040,бал568,код.дох.25010100#,#¬ т.ч. ѕƒ¬6670,00#"
6987812;23.11.2015;05417035;≤нститут газу ЌјЌ ”крањни;820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;40000,00;"#6541030#,#2281#,#«а дослiдж.по визначенню теплофiзичних параметрiв та властив.нанорiдин#,#зг.дог.є1 вiд 20,11,15, актє1 вiд 20,11,15#,#Ѕез ѕƒ¬#."
9300399;14.12.2015;05417035;≤нститут газу ЌјЌ ”крањни;820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;40000,00;"#6541030#,#2281#,#«а дослiдж.по визначенню теплофiзичних параметрiв та властив.нанорiдин#,#зг.дог.є1 вiд 20,11,15, актє2 вiд 14,12,15#,#Ѕез ѕƒ¬#."
4147863;26.10.2015;21574751;ЌјЌ÷;820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ињв. полiтех. iнстит.";820019;√”ƒ —” у м. иЇв≥;40000,00;"#2201410##2281##попередн€ оплата за науково-технiчнi роботи згiдно договору Ќ/4-2015 вiд 21.10.2015##без ѕƒ¬#"
8932173;10.12.2015;34979237;ƒ« "≤—««≤ Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;31317,00;"#™ƒ–ѕќ” 34979237# ѕ ¬ -6641050#2240#послуги щодо забез.проживанн€ (гутожиток)#дог.є26  17.11.2015р.#акт єб\н   09.12.2015р.#Ѕез ѕƒ¬#"
4147783;26.10.2015;05398131;≤н-т сорбц≥њ та проблем ендоекол.ЌјЌ”;820019;√”ƒ —” у м. иЇв≥;02070921;Ќац,техн,унiверситет ”крањни" ѕI",’iмi;820019;√”ƒ —” у м. иЇв≥;30000,00;"#6541030#,#2281#,#виконанн€ Ќƒ–"ќцiнка ефективн,очищенн€ води унiверсальним однораз,фiльтром#,#з-но актає1вiд22,10,15рдогє22-15вiд11,09,15р#,#в т.ч.ѕƒ¬-5000,00#"
11117498;25.12.2015;03767831;”правл≥нн€ "”крспортзабезпеченн€";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” ÷‘¬— " ињвс. полiтехнiч.iнст.;820019;√”ƒ —” у м. иЇв≥;27600,00;"3401220#,#2240#,#опл. посл.  з використ.сп.сп#,#зг.актє526вiд23.12.15,кошт.526/2ƒог.є2-526/2 вiд21.12.15## ѕƒ¬-4600,00#"
9117001;11.12.2015;37471928;ћ≥нрег≥он;820172;ƒ —”;02070921;Ќ“”” " ињвський пол≥техн≥чний ≥нститут;820019;√”ƒ —” у м. иЇв≥;27000,00;"#2751010#,#2240#,#ќплјтестац≥њ“а ѕошук«акладнихѕристроњв#,#ƒог1815Ћ/13-248/2015 в≥д01.10.15р.јкт248/1в≥д10.12.15р.  ƒЅ25010100 бал.568#,#¬ т.ч.ѕƒ¬4500,00грн.#"
9794088;17.12.2015;00013936;ƒержкомтелерад≥о ”крањни;820172;ƒ —”;02070921;Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;24640,00;"#1701110#,#2282#,#ќстат.опл.держ.зам.кнќ.¬.“р≥щук,Ќ.ћ.‘≥голь"—лов.помилк.слов.в сучас.мед≥а"#,#зг.дог.133,04.08.15р,акт01/133,11.12.15р,  ƒЅ25010200#,#Ѕез ѕƒ¬#"
9731113;17.12.2015;37607526;√”ƒ —” в ќдеськ≥й област≥;828011;√”ƒ —” в ќдеськ≥й област≥;02070921;Ќац.тех.ун≥верситет ”кр." ињвський пол;820019;√”ƒ —” у м. иЇв≥;24000,00;"#3504010#,#2240#,#за чергову атестац≥ю комплекс≥в “«≤#,#актє 1 в≥д 16.12.15 ƒог.N 9115Ћ/665 вiд 15.12.15#,#ѕƒ¬-4000,00#"
11119531;25.12.2015;34979237;ƒ« "≤—««≤ Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;23308,20;"#™ƒ–ѕќ” 34979237# ѕ ¬ -6641050#2240#послуги щодо забез.проживанн€ (гутожиток)#дог.є26  17.11.2015р.дод.уг.1  17.12.15р#акт єб\н   24.12.2015р.#Ѕез ѕƒ¬#"
11682364;29.12.2015;02070921;Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";899998;;22899,92;"*10102070921ѕƒ¬ за листопад 2015р 2201040  ≈ ¬ 2281 (2800) б.488 "
6876783;20.11.2015;02070921;Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";899998;;22095,00;"*10102070921ѕƒ¬ за жовтень 2015р 2201160  ≈ ¬ 2282 (2800) б.488 "
4145221;26.10.2015;02070921;Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";899998;;22095,00;"*10102070921ѕƒ¬ за вересень 2015р 2201160  ≈ ¬ 2282 (2800) б.488 "
8564934;07.12.2015;21656169;–ЌЅќ”;820172;ƒ —”;02070921;Ќ“””" ѕ≤";820019;√”ƒ —” у м. иЇв≥;21000,00;"#6501010#,#2240#,#за послуги з розробл.тех.завд.на ≥нф.-анал.сист. та захист ≥нформ.#,#зг.уг.8615  25.11.15 (акт 1 03.12.15)  ƒЅ 25010100#,#в т.ч.ѕƒ¬-3500,00#"
3052789;15.10.2015;37959255;√”ƒ —” у ѕолтавськ≥й област≥;831019;√”ƒ —” у ѕолтавськ≥й областi;02070921;Ќ“””" ѕ≤"Ќƒ÷"“≈«≤—";820019;√”ƒ —” у м. иЇв≥;20004,00;"#25010100#,#3504010#,#2240-20004,00#,#ќпл. за провед. ≥нструм. контролю стану захищенност≥ об'Їкта ≈ќ“#,#зг.рах.568/09/14 13.10.15р.,акту 568/09/14 13.10.15р.,"
