є “–јЌ—ј ÷≤ѓ;ƒј“ј; ќƒ ѕЋј“Ќ» ;Ќј«¬ј ѕЋј“Ќ» ј;ћ‘ќ ѕЋј“Ќ» ј;ЅјЌ  ѕЋј“Ќ» ј; ќƒ ќƒ≈–∆”¬ј„;Ќј«¬ј ќƒ≈–∆”¬ј„;ћ‘ќ ќƒ≈–∆”¬ј„;ЅјЌ  ќƒ≈–∆”¬ј„;—”ћј;ѕ–»«Ќј„≈ЌЌя ѕЋј“≈∆”
6880683;20.11.2015;38621185;ћќЌ ”крањни;820172;ƒ —”;02070921;Ќ“””" ѕI";820019;√”ƒ —” у м. иЇв≥;1047900,00;"#2201040#,#2281#,#ѕопередн€ оплата етапу є1 на виконанн€ Ќ“–#,#згiдно договору вiд 30.10.2015 р. є ƒ«/37-2015,   ƒЅ 25010100#,#без ѕƒ¬#"
6881095;20.11.2015;38621185;ћќЌ ”крањни;820172;ƒ —”;02070921;Ќ“””" ѕI";820019;√”ƒ —” у м. иЇв≥;800000,00;"#2201040#,#2281#,#ѕопередн€ оплата етапу є1 на виконанн€ Ќ“–#,#згiдно договору вiд 30.10.2015 р. є ƒ«/40-2015,   ƒЅ 25010100#,#без ѕƒ¬#"
5918612;11.11.2015;34979237;ƒ« "≤—««≤ Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;363640,04;"#™ƒ–ѕќ” 34979237# ѕ ¬ -6641050#2230#харчуванн€ курсантiв#дог.є23 05.10.2015р.актє8 10.11.2015р.#ѕƒ¬-60606,67грн.#"
11860719;30.12.2015;34979237;ƒ« "≤—««≤ Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;342174,47;"#™ƒ–ѕќ” 34979237# ѕ ¬ -6641050#2230#харчуванн€ курсантiв#дог.є23 05.10.15р.#актє22  30.12.15р.#ѕƒ¬-57029,08грн.#"
3275331;16.10.2015;34979237;ƒ« "≤—««≤ Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;331392,67;"#™ƒ–ѕќ” 34979237# ѕ ¬ -6641050#2230#харчуванн€ курсантiв#дог.є23  05.10.15р.#акт є4  16.10.15р.#ѕƒ¬- 55232,11 грн.#"
8218428;01.12.2015;34979237;ƒ« "≤—««≤ Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;329754,11;"#™ƒ–ѕќ” 34979237# ѕ ¬ -6641050#2230#харчуванн€ курсантiв#дог.є23  05.10.15р.#акт є14  23.11.15р.#ѕƒ¬- 54959,02 грн.#"
6878809;20.11.2015;02070921;Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";899998;;329363,00;"*10102070921ѕƒ¬ за жовтень 2015р 2201160  ≈ ¬ 2282 (2800) б.488 "
11680258;29.12.2015;34979237;ƒ« "≤—««≤ Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;329329,16;"#™ƒ–ѕќ” 34979237# ѕ ¬ -6641050#2230#харчуванн€ курсантiв#дог.є23  05.10.15р.#акт є20  21.12.15р.#ѕƒ¬- 54888,19 грн.#"
9618171;16.12.2015;34979237;ƒ« "≤—««≤ Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;328918,40;"#™ƒ–ѕќ” 34979237# ѕ ¬ -6641050#2230#харчуванн€ курсантiв#дог.є23  05.10.15р.#акт є18 11.12.15р.#ѕƒ¬- 54819,73 грн.#"
5919529;11.11.2015;34979237;ƒ« "≤—««≤ Ќ“”” " ѕ≤";820019;√”ƒ —” у м. иЇв≥;02070921;Ќ“”” " ѕI";820019;√”ƒ —” у м. иЇв≥;327842,98;"#™ƒ–ѕќ” 34979237# ѕ ¬ -6641050#2230#харчуванн€ курсантiв#дог.є23 05.10.2015р.актє8 10.11.2015р.#ѕƒ¬-54640,50грн.#"
