№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
17554693;29.03.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;21705696;"ПАТ КБ ""Приватбанк""";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;8822419,39;2201160 2282 2111 Перерахування коштiв на виплату з/плати за 03/2016р. дог.№520 вiд 22.07.09р .
15054203;26.02.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;21705696;"ПАТ КБ ""Приватбанк""";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;8157519,59;2201160 2282 2111 Перерахування коштiв на виплату з/пл. за 02/2016р. дог.№520 вiд 22.07.09р .
12895581;28.01.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;21705696;"ПАТ КБ ""Приватбанк""";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;7743681,27;2201160 2282 2111 Перерахування коштiв на виплату з/пл. за 01/2016р. дог.№520 вiд 22.07.09р .
17550278;29.03.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;14361575;"ПАТ""КРЕДI АГРIКОЛЬ БАНК""";300614;"АТ ""ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК""";7156701,32;2201160 2282 2111 Перерахування коштiв на виплату з/плати за 03/2016р. дог.20-84/19 вiд 03.08.04р .
12923175;28.01.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;14361575;"ПАТ""КРЕДI АГРIКОЛЬ БАНК""";300614;"АТ ""ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК""";6716625,32;2201160 2282 2111 Перерахування коштiв на виплату з/пл.за 01/2016р. дог.20-84/19 вiд 03.08.04р .
15061880;26.02.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;14361575;"ПАТ""КРЕДI АГРIКОЛЬ БАНК""";300614;"АТ ""ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК""";6712880,67;2201160 2282 2111 Перерахування коштiв на виплату з/пл.за 02/2016р. дог.20-84/19 вiд 03.08.04р .
16106649;14.03.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;21705696;"ПАТ КБ ""Приватбанк""";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;6052424,22;2201160 2282 2111 Перерахування коштiв на виплату з/пл. за 1пол.03/2016р. дог.№520 вiд 22.07.09р .
14025450;15.02.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;21705696;"ПАТ КБ ""Приватбанк""";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;5943177,23;2201160 2282 2111 Перерахування коштiв на виплату з/пл. за 1пол.02/2016р. дог.№520 вiд 22.07.09р .
12467574;25.01.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;21705696;"ПАТ КБ ""Приватбанк""";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;5879351,98;2201160 2282 2720:Перерахування коштiв на виплату стипендiї за 01/2016р. дог.523 вiд 22.07.09р. без ПДВ.
12265975;20.01.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;21705696;"ПАТ КБ ""Приватбанк""";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;5641604;#2201160#,#2282#,#2111: Перерахування коштiв на виплату з/пл. за 1пол.01/2016р.#, #дог.№520 вiд 22.07.09р .#
16770050;22.03.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;21705696;"ПАТ КБ ""Приватбанк""";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;5636449,82;2201160 2282 2720:Перерахування коштiв на виплату стипендiї за 03/2016р. дог.523 вiд 22.07.09р. без ПДВ.
14369669;19.02.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;21705696;"ПАТ КБ ""Приватбанк""";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;5469084,69;2201160 2282 2720:Перерахування коштiв на виплату стипендiї за 02/2016р. дог.523 вiд 22.07.09р. без ПДВ.
16111532;14.03.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;14361575;"ПАТ""КРЕДI АГРIКОЛЬ БАНК""";300614;"АТ ""ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК""";4917944;2201160 2282 2111 Перерахування коштiв на виплату з/пл за 1пол.03/2016р. дог.20-84/19 вiд 03.08.04р .
17556440;29.03.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;39440996;МГУ ДФС-ЦЕНТР.ОФIС З ОВП;820019;ГУДКСУ у м.Києві;4887968,56;*10102070921 2201160, 2282(2120) Єдиний внесок, нарах.роботодавцями на суму з/плати за 03/2016р.
14050765;15.02.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;14361575;"ПАТ""КРЕДI АГРIКОЛЬ БАНК""";300614;"АТ ""ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК""";4861193,45;2201160 2282 2111 Перерахування коштiв на виплату з/пл за 1пол.02/2016р. дог.20-84/19 вiд 03.08.04р .
15048734;26.02.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;39440996;МГУ ДФС-ЦЕНТР.ОФIС З ОВП;820019;ГУДКСУ у м.Києві;4739743,58;*10102070921 2201160, 2282(2120) Єдиний внесок, нарах.роботодавцями на суму з/пл за 02/2016р.
12265848;20.01.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;14361575;"ПАТ""КРЕДI АГРIКОЛЬ БАНК""";300614;"АТ ""ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК""";4720305,7;#2201160#,#2282#,#2111: Перерахування коштiв на виплату з/пл.за 1пол.01/2016р.#, #дог.20-84/19 вiд 03.08.04р .#
16694068;21.03.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;131305;"ПАТ ""КИЇВЕНЕРГО""";322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;4630577,57;220116022822271-частк.опл.за теплоенерг.(бюдж.уст.) за 02.2016 згiдно дог.№910610 вiд 17.12.2015,акт звiрки вiд 17.03.2016, б.500 в т.ч.ПДВ-771762,93.
17523270;29.03.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;38050812;УДКСУ у Солом`янському р-нi;820019;ГУДКСУ у м.Києві;4500103,82;*101020709212201160,2282(2111) Податок на доходи найманих працiвникiв iз з/пл за 03/2016р.
12892494;28.01.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;39440996;МГУ ДФС-ЦЕНТР.ОФIС З ОВП;820019;ГУДКСУ у м.Києві;4461087,86;*10102070921 2201160, 2282(2120) Єдиний внесок, нарах.роботодавцями на суму з/пл за 01/2016р.
12891011;28.01.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;38050812;УДКСУ у Солом`янському р-нi;820019;ГУДКСУ у м.Києві;4453056,24;*101020709212201160,2282(2111) Податок на доходи найманих працiвникiв iз з/пл за 01/2016р.
15049062;26.02.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;38050812;УДКСУ у Солом`янському р-нi;820019;ГУДКСУ у м.Києві;4204847,44;*101020709212201160,2282(2111) Податок на доходи найманих працiвникiв iз з/пл за 02/2016р.
12469461;25.01.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;14361575;"ПАТ""КРЕДI АГРIКОЛЬ БАНК""";300614;"АТ ""ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК""";3170921,81;2201160 2282 2720:Перерахування коштiв на виплату стипендiї за 01/2016р. дог.20-84/19 вiд 03.08.2004р. без ПДВ.
