№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
14133423;16.02.2016;02070921;НТУУ "КПІ";820172;ДКСУ;38050524;ТОВ ,,ГРIН ТЕХ";351005;АКЦ.-КОМ.ІННОВ.БАНК"УКРСИББАНК",ХАРКІВ;12934,50;"220116022822210 опл. за металопласт.констр зг. дог.№ВТ-1549 вiд 09.06.2015 ду №2 вiд 25.01.16та накл. №РН-0000008 вiд 10.02.2016р. б. 514 в т.ч. ПДВ-0,00грн."
12465664;25.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;38050812;УДКСУ у Солом`янському р-нi;820019;ГУДКСУ у м.Києві;12826,93;"*10102070921 2201160,2282(2720) Вiйськовий збiр iз стипендiї за 01/2016р."
12908095;28.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;00032112;АТ "Укрексiмбанк";322313;ВАТ "ДЕРЖ.ЕКСП.-ІМ.БАНК УКРАЇНИ", КИЇВ;12824,91;"220104022812111 Перерахування з/п на картки за 01.16р. дог. 2AIS/153-6-15 вiд 10.02.15р. б/н 501 без ПДВ."
13457546;05.02.2016;02070921;НТУУ "КПІ";820172;ДКСУ;02471324;ПРАТ "Укрполiграфпостач"КП ДАК "Укрвид;300023;АКБ СОЦІАЛЬНОГО РОЗВИТКУ "УКРСОЦБАНК";12480,00;"220116022822210опл.за бумвiнiл зг. д.№БО-1641 вiд 27.01.2016р. та нак.№14 вiд 02.02.2016р.Б. 588 в т.ч. ПДВ -2080,00."
14292767;18.02.2016;02070921;НТУУ "КПІ";820172;ДКСУ;38050812;ГУ ДКСУ у м. Києвi;820019;ГУДКСУ у м.Києві;12091,50;"*10102070921податок на доходи найм.прац. iз з/пл за 2 пол.02.16р. КПКВК2201040 КЕКВ2281(2111) без ПДВ б.н.504"
12901570;28.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;14361575;ПАТ "КРЕДI АГРIКОЛЬ БАНК";300614;АТ "ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК";11923,25;"220104022812111 Перерах. з/пл зг.контр.на карткиp за I- 2016р.,дог. №20-84/19 вiд 03.08.2004, Б.506 Без ПДВ."
12661462;27.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;23494714;ПАТ "Альфа-Банк";300346;ЗАТ "АЛЬФА-БАНК", М.КИЇВ;11785,13;"22010402281 2111 Перерахування з/п на картки за  сiчень 2016р., дог. №17826 вiд 10.01.2013р.,Б. 573 Без ПДВ."
13460742;05.02.2016;02070921;НТУУ "КПІ";820172;ДКСУ;23243188;ПАТ "Київобленерго" Вишгородський РП;322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;11397,90;"220116022822273 за активну енергiю за 01.2016згiдно дог.№i 008 вiд 17.12.2015 та р.-акт №8078681445 вiд 16.01.16 б.490ПДВ 1899.65."
14291318;18.02.2016;02070921;НТУУ "КПІ";820172;ДКСУ;14361575;ПАТ"КРЕДI АГРIКОЛЬ БАНК";300614;АТ "ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК";11362,39;"220104022812111Перерах з/пл зг контр за 02. 2016р. на картки зг дог № 20-84/19 вiд 3.08.04р.Б 507Без ПДВ."
13180845;29.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;38050812;УДКСУ у Солом`янському р-нi;820019;ГУДКСУ у м.Києві;11214,72;"*10122010402281 (2730) Податок на дох.найманих працiвникiв iз Стипендiї КМУ за 01.16р. б/н 501"
14290332;18.02.2016;02070921;НТУУ "КПІ";820172;ДКСУ;38050812;УДКСУ у Солом'янському р-нi;820019;ГУДКСУ у м.Києві;11185,70;"* 10102070921 Податок на доходи найманих працiвникiв iз з/пл. по контракту за 02.2016 р,2201040,2281(2111),Б.530"
14038061;15.02.2016;02070921;НТУУ "КПІ";820172;ДКСУ;00032112;АТ "Укрексiмбанк";322313;ВАТ "ДЕРЖ.ЕКСП.-ІМ.БАНК УКРАЇНИ", КИЇВ;11120,00;"220116022822111 Перерах.з/пл на картки за 1пол.02.2016 згiдно дог.№2АIS/153-6-15 вiд 10.02.2015, б.491 без ПДВ."
12901120;28.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;38050812;УДКСУ у Солом`янському р-нi;820019;ГУДКСУ у м.Києві;10975,35;"*101020709212201040 2281(2111) Вiйськовий збiр iз з/п за 01.16р.б/н 501"
12894227;28.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;14361575;ПАТ"Кредi Агрiколь Банк";300614;АТ "ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК";10658,59;"2201040  22812111Перерах. з/пл на картки за 2-у пол.01.2016р.дог.20-84/19 вiд 03.08.2004.б.510без ПДВ."
12921396;28.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;38050812;УДКСУ у Солом`янському р-нi;820019;ГУДКСУ у м.Києві;10431,84;"*101020709212201160,2282(2111)- Вiйськовий збiр iз з/пл за 2пол.01.2016, б.500"
12665781;27.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;00032112;АТ"Укрексiмбанк";322313;ВАТ "ДЕРЖ.ЕКСП.-ІМ.БАНК УКРАЇНИ", КИЇВ;10360,00;"2201040  22812111Перерах. з/пл на картки за1-у пол.01.2016р.дог.№2IS/153-6-15 вiд18.02.2015.б.510без ПДВ."
14139784;16.02.2016;02070921;НТУУ "КПІ";820172;ДКСУ;37993783;ГУ ДКСУ у м.Києві;820172;ДКСУ;10022,77;"Готівка-депоненти по з/пл п/бюдж.НТУУ "КПІ"КПКВК xxxx"
12919639;28.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;14361575;ПАТ"КРЕДI АГРIКОЛЬ БАНК";300614;АТ "ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК";9851,03;"2201040 2281 2111 Перерахуваня коштiв на  виплату з/ти за01.2016р.за контрактами  Дог.20-84/19 вiд 03.08.04 Б.519"
14126721;16.02.2016;02070921;НТУУ "КПІ";820172;ДКСУ;30180401;ТОВ "Дарина";380805;АППБ "АВАЛЬ";9740,04;"220116022822230 за прод. харчуванняакту зв..№4(10.02.16р.)ВТ-1602(28.12.15р.) ПДВ-1623,34Б.578"
14293961;18.02.2016;02070921;НТУУ "КПІ";820172;ДКСУ;39440996;МГУ ДФС-ЦЕНТР ОФIС З ОВП;820019;ГУДКСУ у м.Києві;9339,61;"*10102070921 Єдиний внесок на суму з/пл. за лютий 2016р.,2201040,2281(2120),Б.548"
13178703;29.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;21705696;ПАТ КБ "Приватбанк";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;9193,03;"220104022812111 Перерахування з/п на картки за 01.16р. дог. 520 вiд 22.07.09р. б/н 501 без ПДВ."
