№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
854830;21.09.2015;02070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;02070944;Київський нацiональний унiверситетiмен;899998;;337610,52;"*10102070944КПКВК 2201280 КЕКВ 2282- 337610,52 ПДВ за Серпень 2015 року"
852144;21.09.2015;37470057;УПСЗН Шевченківської РДА;820019;ГУДКСУ у м.Києві;02070944;Київ. нац. унiвер.iм. Тараса Шевченка;820019;ГУДКСУ у м.Києві;88800,19;"#2501350#,#2800#,#Компен пiдпр уст орган у меж серед зароб прац призв на вiйськ за призов пiд час моб на ос пер за сiчень-липень2015р.зг. пост№105#,##,#без ПДВ#"
854835;21.09.2015;02070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;02070944;Київський нацiональний унiверситетiмен;899998;;73466,00;"*10102070944КПКВК 2201290 КЕКВ 2281-73466 ПДВ за Серпень 2015року"
2113568;30.09.2015;02070944;КНУ iм.Т.Шевченка;820019;ГУДКСУ у м.Києві;02070944;Київський нацiональний унiверситетiмен;820019;ГУДКСУ у м.Києві;69125,27;"#xxxx.27#,#Перекид. зарах.коштiв 21.09.15 компенс.пiдпр.у межах серед.з/п призв.на вiйськ.службу за призов.пiд час мобiл.за сiчень-липень xxxx#,#без ПДВ#"
399862;14.09.2015;02070944;КНУ iм.Т.Шевченка;820019;ГУДКСУ у м.Києві;02070944;Київський нацiональний унiверситетiмен;820019;ГУДКСУ у м.Києві;39628,32;"#xxxx.32#,#Перекид. зарах.коштiв 26.08.15 компенс.пiдпр.у межах серед.з/п призв.на вiйськ.службу за призов.пiд час мобiл.за сiчень-червень xxxx#,#без ПДВ#"
851671;21.09.2015;02070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;02070944;Київський нацiональний унiверситетiмен;899998;;31617,48;"*10102070944КПКВК 2201150 КЕКВ 2282-31617,48 ПДВ за Серпень 2015 року"
2102643;30.09.2015;02070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;02070944;Київський нацiональний унiверситетiмен;820019;ГУДКСУ у м.Києві;27620,17;"#2201280#,#2282-27620.17#,# Перерах.утрим. iз з-ти за проживання i комунальнi послуги за 08.15р. спiвроб.КНУ #,# без ПДВ #"
2114274;30.09.2015;36217777;Школа вищого корпусу державної служби;820172;ДКСУ;02070944;Київський нац. унів. ім. Т. Шевченка;820019;ГУДКСУ у м.Києві;21161,25;"#6121020#,#2282#,#підвищення кваліф. за державним замовленням#,#дер. контракт №37 від 04.09.15, акт №1 від 28.09.15 ККДБ 25010100 #,#в т.ч.ПДВ 297,00#"
2102698;30.09.2015;02070944;КНУ iм.Т.Шевченка;820019;ГУДКСУ у м.Києві;02070944;Київський нацiональний унiверситетiмен;820019;ГУДКСУ у м.Києві;19674,92;"#xxxx.92#,#Перекид. зарах.коштiв 21.09.15 компенс.пiдпр.у межах серед.з/п призв.на вiйськ.службу за призов.пiд час мобiл.за сiчень-липень xxxx#,#без ПДВ#"
401411;14.09.2015;02070944;КНУ iм.Т.Шевченка;820019;ГУДКСУ у м.Києві;02070944;Київський нацiональний унiверситетiмен;820019;ГУДКСУ у м.Києві;18814,42;"#xxxx.42#,#Перекид. зарах.коштiв 26.08.15 компенс.пiдпр.у межах серед.з/п призв.на вiйськ.службу за призов.пiд час мобiл.за сiчень-червень xxxx#,#без ПДВ#"
