№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
13398521;04.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;9322277;"Фiлiї-Головне управлiння АТ""Ощадбанк""м";322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;2801,83;2201100 2111-2801.83 з-та за 2 пол.01.16р. зг.договору № 98 вiд 24.07.2014р. без ПДВ.
14286026;18.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;23494714;"ПАТ ""Альфа-банк"" м. Київ";300346;"ЗАТ ""АЛЬФА-БАНК"", М.КИЇВ";2792;22012802282-2792перерах.з-та за 1 пол. 02.16р.зг.договору № 059/123 вiд 06.12.2013р.без ПДВ.
12263183;20.01.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;9322277;ТВБВ №10026/0688 Фiлiї-Головногоуправл;322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;2781,92;#2201150#,#2282-2781.92#,#стип. студ. КГРТ за 01.16р#,#№Заявка№с-2 вiд 18.01.16#,#Дог.№98 вiд 24.07.2014р #,# без ПДВ#
13889676;12.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;9322277;"Фiлiї-Головне управлiння АТ""Ощадбанк""м";322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;2781,92;22011502282-2781.92стип. студ. КГРТ за 02.16р№Заявка№с-20 вiд 11.02.16Дог.№98 вiд 24.07.2014р  без ПДВ.
13464806;05.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;NA;Гущина Марiя Сергiївна;320984;"ЗАТ ""ПРОКРЕДИТ БАНК""";2762,79;xxxxxxxx-xxxx.79перерах.з-та за 2 половину 01.16р.Гущина Марiя Сергiївна на особовий рахунокxxxx,IПН xxxx без ПДВ.
14211239;17.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;39734511;"ТОВ ""Орхiдея України""";380355;"ТОВ КБ ""ЄВРОБАНК"" У М.КИЄВІ";2751,6;22012802282-2751.60прод.харч.накл.№11 вiд 10.02.16Дог.030/19 вiд 10.02.16в т.ч. ПДВ 458.6.
14040104;15.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;39734511;"ТОВ ""Орхiдея України""";380355;"ТОВ КБ ""ЄВРОБАНК"" У М.КИЄВІ";2740,52;22012802282-2740.52за продукти харчуваннянак№В2000000026 вiд 11.02.16Дог.3/1 вiд 13.01.16в т.ч. ПДВ 456.75.
13154047;29.01.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;447853;"ПАТ ""Юрiя""";320627;"ЗАТ ""БАНК НРБ"", М.КИЇВ";2740,08;22011002230-2740.08за продукти харчуваннянак.№227581 вiд 20.01.16Дог.3 вiд 13.01.16в т.ч. ПДВ 456.68.
13460683;05.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;9322277;"АТ""Ощадбанк"" ТВБВ 10026/01";322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;2734,73;xxxxxxxx-xxxx.73перерах.з-та за 2 половину 01.16р.Барбара Антонiна Василiвна особ.рах № xxxx без ПДВ.
14289124;18.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;32068819;"ТОВ ""Крамар Рiсайклiнг""";322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;2713,37;22011502282-2713.37за вивiз ТПВ за 01.16р.акт №361 вiд 15.02.16Дог.3 вiд 29.01.16в т.ч. ПДВ 452.23.
12162905;18.01.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;37995466;УДКСУ у Шевченкiвському р-нi м.Києва;820019;ГУДКСУ у м.Києві;2692,42;*10111011000 КПКВК 2201290 КЕКВ 2281 вiйськовий збiр утрим. з найм. прац.  iз з-ти   1 пол.01.16р.
12161413;18.01.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;NA;Цимбал Тарас Володимирович;322904;"КИЇВСЬКА РЕГ.ДИРЕКЦІЯ (Ф) АППБ ""АВАЛЬ""";2687;#xxxx#,#xxxx-xxxx#,#перерах.з-та за 1 половину 01.16р.Цимбал Тарас Володимирович поповнення  СКР № xxxx#,# без ПДВ #
13331701;03.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;33872747;"ТОВ ""Стандарт Будiвельний""";380805;"АППБ ""АВАЛЬ""";2665,23;22012802282-2665.23оплата за будiвельнi матерiали накл.№РН-0000025 вiд 29.01.16, дог.№Т 059/08 вiд 25.01.16в т.ч. ПДВ 444.21
13460881;05.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;14360570;"Ф""Розрах.Центр""ПАТ КБ""Приватбанк""м.Киї";320649;"Ф""РОЗРАХ.ЦЕНТР""ЗАТКБ ПРИВАТБАНКУ, КИЇВ";2646,66;xxxxxxxx-xxxx.66перерах.з-та за 2 половину 01.16р.Мартинов Андрiй Юрiйович  поповнення КР xxxx,IПН xxxx без ПДВ.
13228779;01.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;447853;"ПАТ ""Юрiя""";320627;"ЗАТ ""БАНК НРБ"", М.КИЇВ";2646,27;22011002230-2646.27за продукти харчуваннянак№231738 вiд 27.01.16Дог.3 вiд 13.01.16в т.ч. ПДВ 441.05.
13276388;02.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;38050812;УДКСУ у Солом'янському р-нi м. Києва;820019;ГУДКСУ у м.Києві;2630,21;22012802282-2630.2102070944№туристичний збiр за 2015 рiк без ПДВ.
13889765;12.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;37993783;ГУ ДКСУ у м.Києві;820172;ДКСУ;2628,4;22012802282-2628.40готiвка по чеку АЗ 1435067№с-16 вiд 11.02.16мат.доп.на харч.студ.сиротам за 02.16р. без ПДВ.
13327321;03.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;33872747;"ТОВ ""Стандарт Будiвельний""";380805;"АППБ ""АВАЛЬ""";2625,15;22012802282-2625.15 Оплата за сантехнiчнi матерiали накл.№РН-0000026 вiд 29.01.16, дог.Т 059/06 вiд 25.01.16в т.ч. ПДВ 437.53.
13755869;11.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;39440996;МГУ ДФС-Центральний офiс з ОВП;820019;ГУДКСУ у м.Києві;2607,97;*10102070944КПКВК 2201280 КЕКВ 2282-2607.97 перерах. єдиний внесок нарахов. на вiдпускнi за 02.2016 р.
13148792;29.01.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;30636739;"Пiдприємство ""Роман"" МЛУI iнтел.""Софiя";321767;"АКБ ""МРІЯ""";2552;22012802282-2552.00прод.харч,накл.№176 вiд 27.01.16Дог.1 вiд 13.01.16 без ПДВ.
14215583;17.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;37995466;УДКСУ у Шевченкiвському р-нi м.Києва;820019;ГУДКСУ у м.Києві;2541,92;*11010100КПКВК 2201280 КЕКВ 2282-2541.92 перерах.податок на доходи найман.працiвникiв iз вiдпускних за 02.2016 р.Без ПДВ.
13458784;05.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;24075089;"Кредитна Спiлка ""Освiта""";322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;2500;"xxxxxxxx-xxxxперерах.з-та за 2 пол. 01.16р.Ставнюк В.В. в кредитну спiлку Освiта""згiдно заявибез ПДВ."""
13769857;11.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;23494105;"КРД АТ""Райффайзен банк Аваль"" м.Київ";322904;"КИЇВСЬКА РЕГ.ДИРЕКЦІЯ (Ф) АППБ ""АВАЛЬ""";2500;22012802282-2500перерах.вiдпускнi за  02.16р.зг-но догов.№05/05-04-02/230 вiд 09.04.04рбез ПДВ.
14126152;16.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;39835779;"Дочiрнє пiдприємство ""КиївГазЕнерджи""";300346;"ЗАТ ""АЛЬФА-БАНК"", М.КИЇВ";2500;22012902281-2500.00опл.за посл.з газопостачання, сiчень 2016акт вiд 09.02.16Дог.241082/Е/16 вiд 09.02.16в т.ч. ПДВ 416.67.
14287757;18.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;37995466;УДКСУ у Шевченкiвському р-нi м.Києва;820019;ГУДКСУ у м.Києві;2486,35;*101 КПКВК 2201150КЕКВ 2282-2486.35  Перерах.подат.на доходи найман. працiв. iз з-ти за1 пол. 02.16р. без ПДВ
14217434;17.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;447853;"ПАТ ""Юрiя""";320627;"ЗАТ ""БАНК НРБ"", М.КИЇВ";2479,5;22012802282-2479.50за продукти харчуваннянак№240571 вiд 11.02.16Дог.3 вiд 13.01.16в т.ч. ПДВ 413.25.
14128807;16.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;38050812;УДКСУ у Солом'янському р-нi м. Києва;820019;ГУДКСУ у м.Києві;2466,04;*10102070944КПКВК 2201280 КЕКВ 2282-2466,04 Збiр за спец. використ. водн. ресурсiв за 4 кв 2015 року
13455262;05.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;9322277;"Ф-я ГУ АТ""Ощадбанк""по м.Київу та Київс";322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;2451,06;xxxxxxxx-xxxx.06Перерах.алiм. з Короновського В.Є. iз з/п на особ.карт.рах.xxxx Короновської К.П. 01.16р.зг.вик.листа  без ПДВ .
13454924;05.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;9322277;"Ф-я ГУ АТ""Ощадбанк""по м.Київу та Київс";322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;2451,06;xxxxxxxx-xxxx.06перерах.алiм.з Черевичного Г.С. на кор.Лакiш Л.С. на особ.рах.xxxxiнд.код.xxxx за 01.16р.зг.вик.листабез ПДВ .
13459305;05.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;14360570;"ПАТ КБ ""ПриватБанк""";305299;"КБ ""ПРИВАТБАНК"" М.ДНІПРОПЕТРОВСЬК";2451,06;xxxxxxxx-xxxx.06Пер.утрим.алiм. з з-ти Комаренка В.I.на кор.Комаренко Н.С.карт.рах.xxxx IПНxxxxза 01.16р.зг.заявибез ПДВ .
13458248;05.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;9322277;"АТ""Ощадбанк""ТВБВ№10026/066 фiлiї-Голов";322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;2442,41;xxxxxxxx-xxxx.41Пер.алiм.з Корнєєнка С.В. для Корнєєнко Д.С.ИННxxxx на рах.xxxx iз з-ти за2пол. 01.16р.зг.вик.листа без ПДВ .
13463664;05.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;34967593;ВДВС Шевченкiвського РУЮ;820019;ГУДКСУ у м.Києві;2431,57;xxxxxxxx-xxxx.57пере.утрим.за 01.16р.з з-ти Самохвалова Ю.Я.боргу,вик.збору,та витратзг.вик.листабез ПДВ.
