№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
18290232;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;22430008;"ТОВ ""Сандора""";351005;"АКЦ.-КОМ.ІННОВ.БАНК""УКРСИББАНК"",ХАРКІВ";8043,6;220116022822230 за прод. харчуваннянакл.№КИ\РНв-153482(31.03.16р.)ВТ-1618(28.12.15р.)ПДВ-1340,60Б.578
18286437;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;38595150;"ТОВ ""Смiлапостач""";354347;ЧЕРК.Ф.ГРУ ЗАТ КБ ПРИВАТБАНК М.ЧЕРКАСИ;7916,53;220116022822230 за прод. харчуваннянакл.№182(31.03.16р.)ВТ-1608(28.12.15р.)ПДВ-1319,42Б.578
18298776;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;22901502;"ТОВ ""Транспроект""";380838;Test Bank;6950,56;220116022822240 опл.за топограф.зйомку зем.дiлянки згiдно дог.№04-16 вiд 28.03.2016,акт №1 вiд 04.04.2016, б.500 без ПДВ.
18038267;05.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;38050812;УДКСУ у Соломянському р-нi;820019;ГУДКСУ у м.Києві;6840;*101020709212201040,2281(2111)-Податок на доходи найм. прац. iз з/ти зг. контрактiв за 1 пол. квiтня 2016 р. б.н.558
18284946;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;30180401;"ТОВ ""Дарина""";380805;"АППБ ""АВАЛЬ""";6334,2;220116022822230 за прод. харчуваннянакл.№162529(31.03.16р.)ВТ-1603(28.12.15р.)ПДВ-1055,70Б.578
18070542;06.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;30180401;"ТОВ ""Дарина""";380805;"АППБ ""АВАЛЬ""";6060;220116022822230 за прод. харчуваннянакл №162462(23.03.16р.)ВТ-1614(28.12.15р.)ПДВ-1010,00Б.578
18297433;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;30180401;"ТОВ ""Дарина""";380805;"АППБ ""АВАЛЬ""";6060;220116022822230 за прод. харчуваннянакл.№162524(31.03.16р.)ВТ-1614(28.12.15р.)ПДВ-1010,00Б.578
18301563;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;33534821;"ТОВ ""Юнiвест Препрес""";380805;"АППБ ""АВАЛЬ""";5940;220116022822210 оплата за планшети згiдно дог.№БО-16088 вiд 22.03.2016,в.н.№21/084699НВ01 вiд 01.04.2016, б.500 в т.ч. ПДВ-990,00.
18070887;06.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;34200887;"ТОВ ""Руол Стандарт""";380805;"АППБ ""АВАЛЬ""";5040;220116022822230 за прод. харчуваннянакл №1243(23.03.16р.)ВТ-1617(28.12.15р.)ПДВ-840,00Б.578
18039833;05.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;21705696;"ПАТ КБ ""ПРИВАТ-БАНК""";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;5031,25;220104022812111-Перерах. з/пл. на картки зг. контрактiв за 1 пол. квiтня 2016р. зг. дог. №520 вiд 22.07.09., б.н.558 без ПДВ
17976016;04.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;38050812;"УДКСУ у Солом""янському р-ні";820019;ГУДКСУ у м.Києві;4844,11;*101xxxxВійськовий збір з лікарняних за 03/xxxxр.
18302203;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;30180401;"ТОВ ""Дарина""";380805;"АППБ ""АВАЛЬ""";4620;220116022822230 за прод. харчуваннянакл.№162527(31.03.16р.)ВТ-1611(28.12.15р.)ПДВ-770,00Б.578
18287875;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;30180401;"ТОВ ""Дарина""";380805;"АППБ ""АВАЛЬ""";4536;220116022822230 за прод. харчуванняакт зв.№11(01.04.16р.)ВТ-1605(28.12.15р.)ПДВ-756,00Б.578
18288175;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;34200887;"ТОВ ""Руол Стандарт""";380805;"АППБ ""АВАЛЬ""";4500;220116022822230 за прод. харчуваннянакл №1443(31.03.16р.)ВТ-1627(28.01.16р.)ПДВ-750,00Б.578
18068750;06.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;30180401;"ТОВ ""Дарина""";380805;"АППБ ""АВАЛЬ""";4335,9;220116022822230 за прод. харчуваннянакл №162463(23.03.16р.)ВТ-1603(28.12.15р.)ПДВ-722,65Б.578
18069447;06.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;34200887;"ТОВ ""Руол Стандарт""";380805;"АППБ ""АВАЛЬ""";3735;220116022822230 за прод. харчуваннянакл №1241(23.03.16р.)ВТ-1627(28.01.16р.)ПДВ-622,50Б.578
18303114;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;13696598;"ТОВ ""КВАРК-М""";380805;"АППБ ""АВАЛЬ""";3500;220116022822240 Оплата за програмну продукцiю  зг.акту № 03-01 вiд 04.04.16р.дог.№ БО-16128 вiд 21.03.16р.б/н 501 без ПДВ.
18283750;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;22430008;"ТОВ ""Сандора""";351005;"АКЦ.-КОМ.ІННОВ.БАНК""УКРСИББАНК"",ХАРКІВ";3372,6;220116022822230 за прод. харчуваннянакл.№КИ\РНв-153851(31.03.16р.)ВТ-1618(28.12.15р.)ПДВ-562,10Б.578
18061643;06.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;34200887;"ТОВ ""Руол Стандарт""";380805;"АППБ ""АВАЛЬ""";3150;220116022822230 за прод. харчуваннянакл №1245(23.03.16р.)БО-1632(01.03.16р.)ПДВ-525,00Б.578
18065272;06.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;30180401;"ТОВ ""Дарина""";380805;"АППБ ""АВАЛЬ""";3132;220116022822230 за прод. харчуваннянакл №162461(23.03.16р.)ВТ-1605(28.12.15р.)ПДВ-522,00Б.578
18288971;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;37715680;"ТОВ ""Черкасихлiб""";300528;"АКБ ""РАЙФФАЙЗЕНБАНК УКРАЇНА"", М.КИЇВ";3035,36;220116022822230 за прод. харчуваннянакл.№00077883(02.04.16р.)ВТ-1619(29.12.15р.)ПДВ-505,89Б.578
18299699;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;37715680;"ТОВ ""Черкасихлiб""";300528;"АКБ ""РАЙФФАЙЗЕНБАНК УКРАЇНА"", М.КИЇВ";3035,36;220116022822230 за прод. харчуваннянакл.№00078677(03.04.16р.)ВТ-1619(29.12.15р.)ПДВ-505,89Б.578
18300324;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;xxxxxxxxxx;ФОП Кравченко Т. А.;351005;"АКЦ.-КОМ.ІННОВ.БАНК""УКРСИББАНК"",ХАРКІВ";2935,2;220116022822230 за прод. харчуваннянакл.№40(04.04.16р.)ВТ-1628(28.01.16р.)ПДВ-489,20Б.578
18296710;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;30180401;"ТОВ ""Дарина""";380805;"АППБ ""АВАЛЬ""";2793,6;220116022822230 за прод. харчуванняакт зв.№10(01.04.16р.)БО-1601(05.02.16р.)ПДВ-465,60Б.578
18292904;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;xxxxxxxxxx;ФОП Кравченко Т. А.;351005;"АКЦ.-КОМ.ІННОВ.БАНК""УКРСИББАНК"",ХАРКІВ";2700;220116022822230 за прод. харчуваннянакл.№36(31.03.16р.)ВТ-1616(28.12.15р.)ПДВ-450,00Б.578
18070924;06.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;38595150;"ТОВ ""Смiлапостач""";354347;ЧЕРК.Ф.ГРУ ЗАТ КБ ПРИВАТБАНК М.ЧЕРКАСИ;2688;220116022822230 за прод. харчуваннянакл №168(23.03.16р.)ВТ-1608(28.12.15р.)ПДВ-448,00Б.578
18294596;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;30180401;"ТОВ ""Дарина""";380805;"АППБ ""АВАЛЬ""";2439,36;220116022822230 за прод. харчуванняакт зв.№12(01.04.16р.)ВТ-1603(28.12.15р.)ПДВ-406,,56Б.578
18302089;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;30180401;"ТОВ ""Дарина""";380805;"АППБ ""АВАЛЬ""";2439,36;220116022822230 за прод. харчуваннянакл.№162526(31.03.16р.)ВТ-1603(28.12.15р.)ПДВ-406,56Б.578
18303733;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;30180401;"ТОВ ""Дарина""";380805;"АППБ ""АВАЛЬ""";2439,36;220116022822230 за прод. харчуваннянакл.№162562(04.04.16р.)ВТ-1603(28.12.15р.)ПДВ-406,56Б.578
18298139;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;37715680;"ТОВ ""Черкасихлiб""";300528;"АКБ ""РАЙФФАЙЗЕНБАНК УКРАЇНА"", М.КИЇВ";2391,36;220116022822230 за прод. харчуваннянакл.№00079527(04.04.16р.)ВТ-1619(29.12.15р.)ПДВ-398,56Б.578
18290313;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;38595150;"ТОВ ""Смiлапостач""";354347;ЧЕРК.Ф.ГРУ ЗАТ КБ ПРИВАТБАНК М.ЧЕРКАСИ;2304;220116022822230 за прод. харчуваннянакл №180(30.03.16р.)ВТ-1608(28.12.15р.)ПДВ-384,00Б.578
18297675;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;34200887;"ТОВ ""Руол Стандарт""";380805;"АППБ ""АВАЛЬ""";1800;220116022822230 за прод. харчуваннянакл.№1369(30.03.16р.)ВТ-1621(29.12.15р.)ПДВ-300,00Б.578
18285544;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;37715680;"ТОВ ""Черкасихлiб""";300528;"АКБ ""РАЙФФАЙЗЕНБАНК УКРАЇНА"", М.КИЇВ";1779,38;220116022822230 за прод. харчуваннянакл.№00080416(05.04.16р.)ВТ-1619(29.12.15р.)ПДВ-296,56Б.578
18294734;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;22430008;"ТОВ ""Сандора""";351005;"АКЦ.-КОМ.ІННОВ.БАНК""УКРСИББАНК"",ХАРКІВ";1567,32;220116022822230 за прод. харчуваннянакл №КИ/РНв-150842(30.03.16р.)ВТ-1618(28.12.15р.)ПДВ-261,22Б.578
18289990;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;23513707;"ТОВ ""А.С.Ю.Р.""";300023;"АКБ СОЦІАЛЬНОГО РОЗВИТКУ ""УКРСОЦБАНК""";1465,8;220116022822240 опл.за вiдновл.,запр.,ремонт картриджiв згiдно дог.№БО-16074 вiд 11.03.2016,акт №9894 вiд 04.04.2016, б.500 в т.ч. ПДВ-244,30.
18297453;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;34200887;"ТОВ ""Руол Стандарт""";380805;"АППБ ""АВАЛЬ""";1350;220116022822230 за прод. харчуваннянакл.№1373(30.03.16р.)ВТ-1627(28.01.16р.)ПДВ-225,00Б.578
18288695;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;xxxxxxxxxx;ФОП Кравченко Т. А.;351005;"АКЦ.-КОМ.ІННОВ.БАНК""УКРСИББАНК"",ХАРКІВ";1302;220116022822230 за прод. харчуваннянакл.№39(04.04.16р.)ВТ-1620(29.12.15р.)ПДВ-217,00Б.578
17971567;04.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;14360920;"ПАТКБ ""ПРАВЕКС-БАНК""";380838;Test Bank;1279,76;Перерахування коштів на виплату лікарняних за 03/xxxxр.,дог.125-Z від 04.04.06р.
18070416;06.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;38568950;"ДУ ""Київський МЛЦ ДСЕСУ""";820172;ДКСУ;1269,37;220116022822240 за санiтарну перевiркуакт №1706(24.03.16р.)дог №180/1(29.02.16р.)ПДВ-211,56Б.578
18067166;06.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;24950261;"ПАТ ЕК "" Херсонобленерго""";352479;"ХЕРСОНСЬКА ФІЛІЯ ЗАТ КБ ""ПРИВАТБАНК""";1263,43;220116022822273 опл.за реакт.ен.за 03.2016 згiдно дог.№158 вiд 17.12.2015, акт №3р вiд 25.03.2016, б.500 в т.ч. ПДВ-210,57.
18290422;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;34200887;"ТОВ ""Руол Стандарт""";380805;"АППБ ""АВАЛЬ""";1243,2;220116022822230 за прод. харчуваннянакл.№1374(30.03.16р.)БО-1636(01.03.16р.)ПДВ-207,20Б.578
18297057;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;30180401;"ТОВ ""Дарина""";380805;"АППБ ""АВАЛЬ""";1215,49;220116022822230 за прод. харчуваннянакл.№162532(31.03.16р.)ВТ-1603(28.12.15р.)ПДВ-202,58Б.578
18301312;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;xxxxxxxxxx;ФОП Кравченко Т. А.;351005;"АКЦ.-КОМ.ІННОВ.БАНК""УКРСИББАНК"",ХАРКІВ";1137,14;220116022822230 за прод. харчуваннянакл.№37(04.04.16р.)ВТ-1616(28.12.15р.)ПДВ-189,52Б.578
